_step,constraint/satisfaction_rate,constraint/lambda,constraint/avg_penalty,constraint/avg_length
1,0.044921875,0.1,0.1115765571594237,8621.1796875
2,0.05078125,0.1,0.1143874168395997,8734.046875
3,0.0703125,0.1,0.1142354488372802,8692.94921875
4,0.0625,0.1,0.1128504276275634,8661.25390625
5,0.068359375,0.1,0.1074109554290771,8437.908203125
6,0.080078125,0.1,0.1076687335968017,8423.896484375
7,0.060546875,0.1,0.1131996154785156,8675.076171875
8,0.0625,0.1,0.1127614498138427,8644.38671875
9,0.1015625,0.1,0.096033525466919,7921.888671875
10,0.083984375,0.1,0.1139044284820556,8682.8515625
11,0.05859375,0.1,0.1204404830932616,8966.09765625
12,0.046875,0.1,0.1177800655364989,8874.873046875
13,0.06640625,0.1,0.1071917057037354,8423.765625
14,0.08203125,0.1,0.1036087036132811,8259.384765625
15,0.056640625,0.1,0.1158196449279784,8783.740234375
16,0.09375,0.1,0.0966617584228515,7947.42578125
17,0.0546875,0.1,0.1172933101654052,8854.392578125
18,0.046875,0.1,0.1176506996154784,8870.044921875
19,0.07421875,0.1,0.1034112930297852,8248.322265625
20,0.060546875,0.1,0.1086008548736572,8483.89453125
21,0.08203125,0.1,0.1025482654571532,8196.986328125
22,0.072265625,0.1,0.1045065402984618,8312.701171875
23,0.0625,0.1,0.1035802364349365,8276.54296875
24,0.05859375,0.1,0.112777328491211,8666.2109375
25,0.078125,0.1,0.1143188953399658,8676.55859375
26,0.1015625,0.1,0.0996847152709961,8076.8125
27,0.05859375,0.1,0.1178276062011719,8867.125
28,0.08203125,0.1,0.1003256320953369,8130.853515625
29,0.044921875,0.1,0.1241541385650634,9137.96875
30,0.060546875,0.1,0.0950157642364501,7941.017578125
31,0.080078125,0.1,0.1044087886810303,8291.310546875
32,0.08203125,0.1,0.1033738613128662,8244.892578125
33,0.05859375,0.1,0.1016834259033202,8193.05078125
34,0.056640625,0.1,0.1047094821929931,8323.154296875
35,0.11328125,0.1,0.0959266185760496,7878.373046875
36,0.0546875,0.1,0.1103032112121582,8557.3125
37,0.076171875,0.1,0.1079674243927001,8438.9765625
38,0.064453125,0.1,0.103094482421875,8249.578125
39,0.056640625,0.1,0.1117523193359374,8620.62890625
